"Citation","Year","Number","Title","Resource type","URL"
"Redfern","2012","1","Rice in Southeast Asia: facing risks and vulnerabilities to respond to climate change","Journal article","https://www.researchgate.net/publication/291798219_Rice_in_Southeast_Asia_facing_risks_and_vulnerabilities_to_respond_to_climate_change"
"Redhum","2016","1","Impacto del FEN deja hasta la fecha 20 fallecidos y 8729 damnificados","Report","http://www.redhum.org/noticia_detail/impacto-del-fen-deja-hasta-la-fecha-20-fallecidos-y-8729-damnificados-57412"
"Reed et al .","2022","1","The impact of flooding on food security across Africa","Journal article","https://www.pnas.org/doi/10.1073/pnas.2119399119"
"Reguero et al.","2015","1","Effects of Climate Change on Exposure to Coastal Flooding in Latin America and the Caribbean","Article","https://dx.doi.org/10.1371%2Fjournal.pone.0133409"
"Reid et al.","2012","1","Southern voices on climate policy choices Analysis of and lessons learned from civil society advocacy on climate change","Report","https://pubs.iied.org/sites/default/files/pdfs/migrate/10032IIED.pdf"
"Reliefweb","2020","1","Reliefweb","Website article","https://reliefweb.int/report/india/climate-change-displacement-and-managed-retreat-coastal-india"
"Resurreccion et al.","2008","1","Climate Adaptation in Asia: Knowledge Gaps and Research Issues in South East Asia","Report","https://www.preventionweb.net/files/8126_ClimateAdaptationSEASept081.pdf"
"Retamales et al.","2014","1","Blueberry Production in Chile: Current Status and 
Future Developments","Journal article","https://www.researchgate.net/publication/267336634_Blueberry_production_in_Chile_Current_status_and_future_developments
"
"Reyer et al.","2015","1","Climate change impacts in Latin America and the Caribbean and their implications for development","Journal article","https://link.springer.com/article/10.1007/s10113-015-0854-6"
"Rigden et al.","2020","1","Kenyan tea is made with heat and water: how will climate change influence its yield?","Journal article","https://iopscience.iop.org/article/10.1088/1748-9326/ab70be"
"Rios et al.","2021","1","Climate Change Impacts on Agriculture in Latin 
America and the Caribbean: An Application of the Integrated Economic-Environmental Modeling (IEEM) Platform","IDB Report","http://www.iadb.org"
"Ristaino et al.","2021","1","The persistent threat of emerging plant disease pandemics to global food security","Journal","https://doi.org/10.1073%2Fpnas.2022239118"
"Rivera et al.","2021","1","A Decade of Hydrological Drought in
Central-Western Argentina","Journal article","https://www.frontiersin.org/articles/10.3389/frwa.2021.640544/full
"
"Rojas","2017","1","Climate change and livestock: Impacts, adaptation, and mitigation","Journal","https://www.sciencedirect.com/science/article/pii/S221209631730027X"
"Rojas-Downing et al.","2017","1","Climate change and livestock: Impacts, adaptation, and mitigation","Journal article","https://www.sciencedirect.com/science/article/pii/S221209631730027X"
"Romjin et al.","2019","1","Land Restoration in Latin America and the Caribbean: An Overview of Recent, Ongoing and Planned Restoration Initiatives and Their Potential for Climate Change Mitigation.","Journal","https://www.researchgate.net/publication/333820370_Land_Restoration_in_Latin_America_and_the_Caribbean_An_Overview_of_Recent_Ongoing_and_Planned_Restoration_Initiatives_and_Their_Potential_for_Climate_Change_Mitigation"
"Rosa","2022","1","Adapting agriculture to climate change via sustainable irrigation: biophysical potentials and feedbacks","Journal","https://iopscience.iop.org/article/10.1088/1748-9326/ac7408"
"Roy and Basu","2020","1","Determinants of Livelihood Diversification Under Environmental Change in Coastal Community of Bangladesh","Journal","https://journals.sagepub.com/doi/pdf/10.1177/1018529120946159"
"Runde et al.","2021","1","Small and Medium-Sized Enterprises, Blended Finance, and Climate Change in Sub-Saharan Africa","Center for Strategic and International Studies (CSIS) Report","https://www.csis.org/analysis/small-and-medium-sized-enterprises-blended-finance-and-climate-change-sub-saharan-africa"
"Rurinda et al.","2015","1","Climate change and maize yield in southern Africa: what can farm management do?","Journal article","https://doi.org/10.1111/gcb.13061"
"Russo et al.","2017","1","Leaching losses from Kenyan maize cropland receiving different rates of nitrogen fertilizer.","Article","https://doi.org/10.1007/s10705-017-9852-z"
"Rémy Habou","2017","1","Improving literacy in Africa","Report","https://www.globalpartnership.org/blog/improving-literacy-africa"
"Safi et al.","2018","1","Synergy of climate change and local pressures on saltwater intrusion in coastal urban areas: effective adaptation for policy planning","Journal article","https://www.tandfonline.com/doi/pdf/10.1080/02508060.2018.1434957?needAccess=true"
"Sagoe","2006","1","Climate Change and root crop production in Ghana","Report","https://www.researchgate.net/publication/255652525_Climate_Change_and_Root_Crop_Production_in_Ghana"
"Sain et al.","2017","1","Costs and benefits of climate-smart agriculture: The case of the Dry Corridor in Guatemala","Journal article","https://www.sciencedirect.com/science/article/pii/S0308521X16301160"
"Salazar","2006","1","Emerging and Re-emerging Potato Diseases in the Andes","Report","https://www.researchgate.net/publication/225529713_Emerging_and_Re-emerging_Potato_Diseases_in_the_Andes"
"Salhuana et al.","1997","1","Latin America Maize Project","Report","https://www.google.com.www.ars.usda.gov%2FARSUserFiles%2F50301000%2F"
"Salmoral et al.","2020","1","Reconciling irrigation demands for agricultural expansion with environmental sustainability - A preliminary assessment for the Ica Valley, Peru","Journal article","https://www.sciencedirect.com/science/article/pii/S0959652620335897
"
"Samaniego","2014","1","The economics of climate change in Latin America and the Caribbean: Paradoxes and challenges","ECLAC Publication","https://repositorio.cepal.org/bitstream/handle/11362/37056/4/S1420806_en.pdf"
"Sanchez et al.","1997","1","Soil Fertility Replenishment in Africa: An Investment in Natural Resource Capital","Journal article","https://www.agronomy.org/publications/books/pdfs/sssaspecialpubl/replenishingsoi/1"
"Sanchez-Garcia","2021","1","Identification of new dual-purposed barley genotypes for the MENA region.","Report","https://repo.mel.cgiar.org/handle/20.500.11766/12596"
"Sanginga","2015","1","Root and Tuber Crops (Cassava, Yam, Potato and Sweet Potato)","Report","https://www.afdb.org/fileadmin/uploads/afdb/Documents/Events/DakAgri2015/Root_and_Tuber_Crops__Cassava__Yam__Potato_and_Sweet_Potato_.pdf"
"Sanjak et al.","2016","1","A Methodological Framework for Comparative Land Governance Research in Latin America and the Caribbean .","IDB Report","https://publications.iadb.org/publications/english/document/A-Methodological-Framework-for-Comparative-Land-Governance-Research-in-Latin-America-and-the-Caribbean.pdf"
"Sanjeet Bagcchi","2020","1","FARMERS FACE UP TO CLIMATE RISKS IN SOUTH ASIA","Report","https://www.preventionweb.net/news/farmers-face-climate-risks-south-asia"
"Santibáñez and Santibáñez","2007","1","Trends in Land Degradation in Latin America and the Caribbean, the role of climate change EN: Climate and Land Degradation World Meteorological Organization. Ginebra.","Journal","https://www.uchile.cl/documentos/trends-in-land-degradation-in-latin-america-and-the-caribbean-the-role-of-climate-change_84623_2_3503.doc"
"Sarkar","2020","1","Cyclones batter South Asia as Indian Ocean heats up","Report","https://www.thethirdpole.net/en/climate/cyclones-south-asia/"
"Sathyan et al.","2018","1","Climate Vulnerability in Rainfed Farming: Analysis from Indian watershed. Sustainability.","Report","https://mdpi-res.com/d_attachment/sustainability/sustainability-10-03357/article_deploy/sustainability-10-03357.pdf?version=1537368816"
"Sazib et al.","2020","1","Assessing the Impact of ENSO on Agriculture Over Africa Using Earth Observation Data","Journal","https://www.frontiersin.org/articles/10.3389/fsufs.2020.509914/full"
"Schmitter et al.","2015","1","Contributions of lateral flow and groundwater to the spatio-temporal variation of irrigated rice yields and water productivity in a West-African inland valley","Journal article","https://www.sciencedirect.com/science/article/abs/pii/S0378377415000232"
"Schneider et al.","2020","1","Rice production and food security in Asian Mega deltas—A review on characteristics, vulnerabilities and agricultural adaptation options to cope with climate change","Journal article","https://onlinelibrary.wiley.com/doi/full/10.1111/jac.12415"
"Schoolmeester et al.","2016","1","Outlook on Climate Change Adaptation in the Tropical Andes mountains. Mountain Adaptation Outlook Series.
",,"https://gridarendal-website-live.s3.amazonaws.com/production/documents/:s_document/19/original/Andes_screen.pdf?1483646261"
"Schreinemachers et al.","2013","1","From Challenges to Sustainable Solutions
for Upland Agriculture in Southeast Asia (in Sustainable Land Use and Rural Development in Southeast Asia: Innovations and Policies for Mountainous Areas)","Book","https://www.researchgate.net/publication/236980579_From_Challenges_to_Sustainable_Solutions_for_Upland_Agriculture_in_Southeast_Asia"
"Sebastian","2014","1","Atlas of African agriculture research and development","Book","http://dx.doi.org/10.2499/9780896298460"
"Segal","2019","1","RICE AT THE HEART OF AGRICULTURE IN ASIA","Book Chapter","https://oxfamilibrary.openrepository.com/bitstream/handle/10546/620646/bp-unfair-harvest-rice-asia-200319-en.pdf"
"Sekeris","2011","1","Land Inequality and Conflict in Sub-Saharan Africa","Article","https://www.researchgate.net/publication/227379025_Land_Inequality_and_Conflict_in_Sub-Saharan_Africa"
"Sekiyama","2022","1","Climate security and its Implication in East Asia","Journal article","https://www.mdpi.com/2225-1154/10/7/104/pdf"
"Sekiyama","2022","2","Climate Security and Its Implications for East Asia","Journal","https://www.mdpi.com/2225-1154/10/7/104/pdf"
"Sellers and Bilsborrow","2020","1","Agricultural technology adoption among migrant settlers and indigenous populations of the Northern Ecuadorian Amazon: are differences narrowing?","Journal article","https://www.tandfonline.com/doi/full/10.1080/1747423X.2020.1719225"
"Selvaraju","2013","1","Implications of Climate Change for Agriculture and Food Security in the Western Asia and Northern Africa Region. In M. V. K. Sivakumar, R. Lal, R. Selvaraju, and I. Hamdan (Eds.), Climate Change and Food Security in West Asia and North Africa","Book Chapter","https://link.springer.com/chapter/10.1007/978-94-007-6751-5_2"
"Sen","2017","1","Climate change: health effects and response in South Asia","Journal","https://doi.org/10.1136/bmj.j5117"
"Serdeczny et al.","2017","1","Climate change impacts in Sub-Saharan Africa: from physical changes to their social repercussions","Journal article","https://climateanalytics.org/media/ssa_final_published.pdf"
"Servin and Mendoza","2014","1","Climate Change and Its Influence on Agricultural Pest in Mexico","Journal article","https://www.scirp.org/html/14-4700334_52475.htm"
"SESSION","2021","1","LATIN AMERICAN AND CARIBBEAN FORESTRY COMMISSION","FAO Report","https://www.fao.org/3/cb5925en/cb5925en.pdf"
"Shah et al.","2020","1","Accelerating Irrigation Expansion in Sub-Saharan Africa : Policy Lessons from the Global Revolution in Farmer-Led Smallholder Irrigation.","World Bank Report","https://openknowledge.worldbank.org/handle/10986/35804"
"Shahid et al.","2021","1","Climate resilient rice production system: Natural resources management approach","Journal article","https://doi.org/10.35709/ory.2021.58.spl.6"
"Shankar et al.","2014","1","Climate Change and Agricultural Adaptation in South Asia","Book","https://link.springer.com/referenceworkentry/10.1007/978-3-642-38670-1_50"
"Shannon and Motha","2015","1","Managing weather and climate risks to agriculture in North America, Central America and the Caribbean,
Weather and Climate Extremes,","Article","https://www.sciencedirect.com/science/article/pii/S2212094715300384"
"Sharma and Manjeet","2020","1","Heat Stress Effects in Fruit Crops: A Review","Journal article","https://www.researchgate.net/publication/341549666_Heat_Stress_Effects_in_Fruit_Crops_A_Review
"
"Shi et al.","2021","1","Quantitative contributions of climate change, new cultivars adoption, and management practices to yield and global warming potential in rice-winter wheat rotation ecosystems","Journal article","https://doi.org/10.1016/j.agsy.2021.103087"
"Shiferaw et al.","2014","1","Managing vulnerability to drought and enhancing livelihood resilience in sub-Saharan Africa: Technological, institutional and policy options","Journal","https://www.sciencedirect.com/science/article/pii/S2212094714000280"
"Shiferaw et al.","2014","2","Managing vulnerability to drought and enhancing livelihood resilience in sub-Saharan Africa: Technological, institutional and policy options","Journal article","https://www.sciencedirect.com/science/article/pii/S2212094714000280"
"Shiferaw et al.","2014","3","Adoption of improved wheat varieties and impacts on household food security in Ethiopia.","Journal article","https://doi.org/10.1016/j.foodpol.2013.09.012"
"Sieghart and Betre","2018","1","Climate Change in MENA : Challenges and Opportunities for the World’s Most Water Stressed Region","Brief","https://openknowledge.worldbank.org/handle/10986/29419"
