"From","Link type","To","Description","Bibliographic resources","Tags","Type","Connection"
"High prevalence of land degradation","Leads to","Desertification","Supplementary feed sources for livestock. Hungry animals and land shortages lead to. over-grazing, hence desertification.","Dixon et al., 2020","Governance; Institution and policy","MENA Highland Mixed","MENA-Highland-Mixed-Connection-84"
"Unfavourable soil conditions","Leads to","Reduced crop productivity/failure","Yield reduction due to salinization and/or waterlogging amounts to 25 percent in MENA, and has led to a complete loss of productivity.","FAO, 2015","Governance; Institution and policy","MENA Highland Mixed","MENA-Highland-Mixed-Connection-85"
"Water scarce area","Leads to","Reduced groundwater tables","Climate change is having short- and long-term impacts on surface and groundwater in the northern part of the African continent.","World Bank, 2017","Governance; Institution and policy","MENA Highland Mixed","MENA-Highland-Mixed-Connection-86"
"Weak land tenure and access rights, particularly for women","Leads to","Lack of willingness to invest in sustainable agricultural practices","There is an increased land fragmentation and decreasing farm size du to high populations leading to a challenge for mechanization and large-scale farming. Women have limited access to land rights and often have the biggest work load in farms for example the collection of supplementary fodder is a time-consuming task for women, especially
in the winter. ","Dixon et al., 2020","Governance; Gender","MENA Highland Mixed","MENA-Highland-Mixed-Connection-87"
"Predominantly small-scale subsistence farming","Leads to","Lack of willingness to invest in sustainable agricultural practices","The lack of willingness to invest in sustainable agricultural practices is due to lack of access to farm inputs and infrastructure.","Lewis et al., 2018","Human capacity; finance","MENA Highland Mixed","MENA-Highland-Mixed-Connection-88"
"Low access to markets","Leads to","Loss of income","Low access to markets is mainly impeded by the existence of poor road infrastructure and geographical location of the rural farms. ","Lewis et al., 2018","finance; governance; institution and policy","MENA Highland Mixed","MENA-Highland-Mixed-Connection-89"
"High illiteracy rates ","Leads to","Competition for resources","Majority of the people in the region do not understand the importance of conserving the natural resources.","Dixon et al., 2020","Governance; institution and policy; Gender","MENA Highland Mixed","MENA-Highland-Mixed-Connection-90"
"High illiteracy rates ","Leads to","Unpredictable planting period","Smallholder farmers who are illiterate do not understand how to study the cropping calendar.","Dixon et al., 2020","Governance; institution and policy","MENA Highland Mixed","MENA-Highland-Mixed-Connection-91"
"Lack of irrigation infrastructure ","Leads to","Water scarcity","Middle East and North Africa (MENA) is the most water-scarce region in the world, with only about 1% of global freshwater resources.","IWMI,2022","Governance; institution and policy","MENA Highland Mixed","MENA-Highland-Mixed-Connection-92"
"Predominantly small-scale subsistence farming","Leads to","Reduced crop productivity/failure","These small farmers face poverty, marginalization and are susceptible to environmental degradation, With limited access to irrigation leading to reduced crop production.","Lewis et al., 2018","Governance; institution and policy","MENA Highland Mixed","MENA-Highland-Mixed-Connection-93"
"Low access to markets","Leads to","Reduced crop productivity/failure"," Where input and output markets are weak, and access to insurance is limited, smallholder farmers face reduced crop productivity.","ESCWA et al. 2017","Governance; institution and policy","MENA Highland Mixed","MENA-Highland-Mixed-Connection-94"
"Weak land tenure and access rights, particularly for women","Leads to","Reduced crop productivity/failure","While tenure security increases selective clearing, income and gender do not have significant interaction effects with land rights.","Dixon et al., 2020","Governance; institution and policy","MENA Highland Mixed","MENA-Highland-Mixed-Connection-95"
"Low access to agricultural extension services","Leads to","Reduced crop productivity/failure","The importance of extension services in helping smallholder farmers to address the many challenges of agricultural production cannot be overlooked.","P Antwi-Agyei  et al.,2021","Governance; institution and policy","MENA Highland Mixed","MENA-Highland-Mixed-Connection-96"
"Low access to agricultural extension services","Leads to","Lack of willingness to invest in sustainable agricultural practices","Farmers in the rural areas mostly receive very limited extension services due to factors such as inaccessibility of their farms during adverse weather conditions and limited capacity of extension officers to reach certain geographical locations","Lewis et al., 2018","Governance; institution and policy","MENA Highland Mixed","MENA-Highland-Mixed-Connection-97"
"Lack of irrigation infrastructure ","Leads to","Reduced crop productivity/failure","lack of irrigation infrastrucutre creates a vulnerabilities for farmers during harsh conditions and certain plants cannot tolerate","lewis et al., 2018","infrastruture; finance","MENA Highland Mixed","MENA-Highland-Mixed-Connection-98"
"Demographic pressure on land","Is mitigated by","Policy reform
","This system is under pressure from the rising demands of urban population, income shifts and resource degradation. Although population growth is exerting heavy pressure on the farming system, few countries (e.g. Ethiopia) have designed a comprehensive population policy to deal with the issue.","Dixon et al., 2020","Governance; Institutions and policy; policy level; partnerships required","MENA Highland Mixed","MENA-Highland-Mixed-Connection-99"
"Unsustainable natural resource use","Is mitigated by","Capacity building on sustainable agricultural practices","The role of small-scale farmers in contributing significantly to mitigation measures is limited. However, changes in forest land can be countered through the involvement of these farms in sustainable natural resource management (such as through agro-forestry) to stem the tide of forest degradation and deforestation for cropland and rangeland","Lewis et al., 2018","Governance; Institutions and policy; Technology; Research and development; Infrastructure; farm level; community level","MENA Highland Mixed","MENA-Highland-Mixed-Connection-100"
"Reliance on rainfed agriculture","Is mitigated by","Adopt drought tolerant varieties






","Small-scale farms are currently growing cereal crops that are largely heat and drought tolerant, namely sorghum and barley. These crops will be important because these communities farm largely for subsistence and their lands are likely to become more arid and experience a greater risk of drought in the context of climate change.","Lewis et al., 2018; World Bank, 2015","Infrastructure; farm level; community level; research and development","MENA Highland Mixed","MENA-Highland-Mixed-Connection-101"
"Poor water use efficiency and management","Is mitigated by","Implement efficient water management","The farming system freshwater resources are under immense pressures and are facing significant risks to their sustainability due to overexploitation, climate change, and interstate competition over their use that extends beyond the region’s boundaries. Appropriate methods to augment the freshwater supply in different areas of the region include, where feasible, expanding total wastewater treatment and reuse, including that of agricultural drainage water, and brackish and seawater desalination. Strict water quality controls and regulations, as well as measures to mitigate the environmental costs of desalination must be prioritized within the further development of these non-conventional sources of supply.","Kandeel, 2019","farm level; community level; institution and policy; partnerships required","MENA Highland Mixed","MENA-Highland-Mixed-Connection-102"
