"Label","Type-1","Type-2","Description","Tags","Bibliographic resource","Developer and name of external database","Link to external database","Type"
"Target niche markets","Adaptation option","Financial capital","There would appear to be a place for the development of niche (e.g. ethnic) and organic food production for international markets, e.g. olives, vines, pistachio, fruits, raisins, dates, spices, herbs and vegetables. Assistance with market entry is needed for small farmer groups.","Dixon et al., 2001","Finance; Institutions and policy; community level; parnerships requrired; network dependent"," "," ","MENA Rainfed Mixed"
" "," "," "," "," "," "," "," ","MENA Rainfed Mixed"
" "," "," "," "," "," "," "," ","MENA Rainfed Mixed"
" "," "," "," "," "," "," "," ","MENA Rainfed Mixed"
" "," "," "," "," "," "," "," ","MENA Rainfed Mixed"
"Farmers engaged in agri system","Exposure "," ","Many farms are intensively capitalised with a high level of inputs, and farmers are very sensitive to market opportunities. There are a number of specialised dairy and poultry enterprises within the system. In the drier areas, cereals become more dominant and there is often a greater interdependence among farming families who frequently share resources and equipment. Farm systems are diversified and there is a seasonal interaction with livestock (mainly sheep and goat) owners in the use of crop residues and other fodder. ","Dixon et al., 2001","Socioeconomic"," "," ","MENA Rainfed Mixed"
"Area of land used","Exposure "," ","The total are under the farming system that is expsed to climatic hazards and demographic pressures is 17m ha","Dixon et al., 2001","Socioeconomic"," "," ","MENA Rainfed Mixed"
"Risk to farmers of food insecurity due to Climate Change","Risk"," "," "," "," "," "," ","MENA Rainfed Mixed"
"Risk to farmers of loss of livelihoods due to Climate Change ","Risk"," "," "," "," "," "," ","MENA Rainfed Mixed"
"Risk to farmers of chronic poverty due to Climate Change 
","Risk"," "," "," "," "," "," ","MENA Rainfed Mixed"
"Increase in average temperatures","Hazard","Temperature related","The region has experienced increased average annual temperatures by 0.06–0.08°C per decade (1901–2013), with substantially stronger warming of 0.14–0.25°C per decade over the last 30 years.","USAID, 2017","Temperature related"," "," ","SA Rainfed Mixed"
"Increase in extreme rainfall events","Hazard","Rainfall related","There is an increased in the frequency and intensity of heavy precipitation events. However, there is lack of agreement on overall precipitation trends – global data show no change from 1901–2013 and national data show reduced precipitation in areas of central India.","UDAID, 2017","Rainfall related"," "," ","SA Rainfed Mixed"
"Rising sea levels","Hazard","Maritime related","Rise in sea levels over the last 50 years, ranging from 0.8–1.3 mm per year (west coast) to 5.2 mm per year (Bay of Bengal)","USAID, 2017","Maritime related"," "," ","SA Rainfed Mixed"
"Increase in drought events","Hazard","Rainfall related","The northwestern region of India is projected to see an increase in droughts in the future and eastern India is expected to see an increase in the length of dry spells. By 2030, it is estimated that the agricultural losses in India will be over $7 billion and affect 10% of the populations’ income, but this estimate could be reduced by 80% if climate resilience and adaptation policies are employed.","Wold Bank Climate Change Knowledge Portal","Rainfall related"," "," ","SA Rainfed Mixed"
"Increase in extreme rainfall events","Hazard","Rainfall related","Floods are on average the greatest source of annual losses to disaster in India, costing an estimated $7 billion every year (UNISDR, 2014). During the 20th century, flood hazard increased across a majority of India. The implications of the general trend towards more intense extreme precipitation events are serious for potential future flood extent.","Wold Bank Climate Change Knowledge Portal","Rainfall related"," "," ","SA Rainfed Mixed"
"Increase in tropical cyclones/hurricanes","Hazard","Wind related","Cyclone activity makes a large contribution to disaster risk in India, notably along the east coast. he 1999 cyclone “Orissa” caused over 10,000 people to lose their lives, and overwhelmed and damaged buildings, lifeline infrastructure, and economic assets along many coastal districts. 86% of all deaths from tropical cyclones are accounted for in India and Bangladesh.","World Bank Climate Change Knowledge Portal","Wind related"," "," ","SA Rainfed Mixed"
"Increase in extreme heat (no. of hot days)","Hazard","Temperature related","The region regularly experiences some of the world’s highest maximum temperatures, with an average monthly maximum
of around 30°C and an average maximum of 36°C. ","World Bank, 2021","Temperature related"," "," ","SA Rainfed Mixed"
"Increasingly erratic rainfall","Hazard","Rainfall related"," "," "," "," "," ","SA Rainfed Mixed"
" ","Hazard"," "," "," "," "," "," ","SA Rainfed Mixed"
" ","Hazard"," "," "," "," "," "," ","SA Rainfed Mixed"
" ","Hazard"," "," "," "," "," "," ","SA Rainfed Mixed"
" ","Hazard"," "," "," "," "," "," ","SA Rainfed Mixed"
" ","Hazard"," "," "," "," "," "," ","SA Rainfed Mixed"
"Reduced crop productivity/failure","Impact","Biophysical","Increase in temperatures in the region have impacted on the productivity of a number of crops for example In the fertile Indo-Gangetic Plains, an area that produces 14–15 percent of the global wheat yield, a 50 percent reduction in wheat yield due to heat stress is projected in the most productive areas by 2050.","USAID, 2017; Dwarakish  et al., 2009","Biophysical"," "," ","SA Rainfed Mixed"
"Shift in growing season","Impact","Biophysical","Climate change may shift the boundary of the farming-pastoral regions in northern high-altitude parts of the Indian subcontinent. A shift to more dryland ecosystems due to global warming may increase the area for farming and livestock production (due to reduced frost and cold damage), but could also increase the risk of desertification","ADB, 2014","Biophysical"," "," ","SA Rainfed Mixed"
"Soil erosion","Impact","Biophysical","Climate change poses risks to soil in the region, the most fundamental component of terrestrial ecosystems. Research suggests that a large proportion of India’s land surface is already experiencing processes which lead to land degradation.  While land management practices play a very large role, climate change is likely to further to exacerbate these issues, particularly through dryland expansion and desertification processes. India’s central regions where the rainfed mixed system is dominant are most at risk","World Bank, 2021; Huang et al., 2016","Biophysical"," "," ","SA Rainfed Mixed"
